"region","address","latitude","longitude","type","power","service"
"NDMC","Near ICICIÂ Bank/Metro Gate No. 7 & 8,Â Block A, Inner Circle, Connaught Place, New Delhi 110001","28.632723","77.217847","DC-001","15 kW","Self Service"
"NDMC","Gopal Das Building,Â Barakhamba Road, Connaught Lane, Barakhamba, New Delhi110001","28.6325843","77.2229787","DC-001","15 kW","Self Service"
"NDMC","Outside UCO Bank, Block H, RR3, Connaught Place, New Delhi","28.6351128","77.2184205","DC-001","15 kW","Self Service"
"NDMC","Press Club of India, 1, Raisina Road, Windsor Place, New Delhi110001","28.6171933","77.2136452","DC-001","15 kW","Self Service"
"NDMC","Post Office, Laxmi Bai Nagar, Safderjung Flyover, New Delhi","28.578452","77.209231","DC-001","15 kW","Self Service"
"Noida Authority","Electronic City , Metro Station parking gate no.2, Noida - 201301","28.627941","77.37493","DC-001","15 kW","Self Service"
"Noida Authority","H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301","28.6265817","77.3752161","DC-001","15 kW","Self Service"
"NDMC","Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003","28.602443","77.217889","DC-001","15 kW","Self Service"
"NDMC","Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","28.5907109","77.2242844","DC-001","15 kW","Self Service"
"NDMC","Talkatora Garden,Â President's Estate, New Delhi110004","28.6248358","77.1952435","DC-001","15 kW","Self Service"
"NDMC","Talkatora Garden,Â President's Estate, New Delhi110004","28.6248358","77.1952435","DC-001","15 kW","Self Service"
"NDMC","Talkatora Stadium,Â President's Estate, New Delhi110004","28.6252943","77.1952344","DC-001","15 kW","Self Service"
"NDMC","Indian Coffee House, Connaught Place, New Delhi","28.6308096","77.2161583","DC-001","15 kW","Self Service"
"NDMC","Talkatora Garden,Â President's Estate, New Delhi110004","28.6248358","77.1952435","DC-001","15 kW","Self Service"
"NDMC","Talkatora Stadium,Â President's Estate, New Delhi110004","28.6252943","77.1952344","DC-001","15 kW","Self Service"
"CMRL","High Court Metro Station, Chennai","13.0318485","80.241973","DC-001","15 kW","Self Service"
"CMRL","High Court Metro Station, Chennai","13.0318485","80.241973","AC-001","10(3.3 kW each)","Self Service"
"CMRL","Koyam Bedu  Metro Station, Chennai","13.1092809","80.1523462","DC-001","15 kW","Self Service"
"CMRL","Koyam Bedu  Metro Station, Chennai","13.1092809","80.1523462","AC-001","10(3.3 kW each)","Self Service"
"CMRL","Anna Nagar East Metro Station, Chennai (CMRL)","12.9959222","80.2102867","DC-001","15 kW","Self Service"
"CMRL","Anna Nagar East Metro Station, Chennai (CMRL)","12.9959222","80.2102867","AC-001","10(3.3 kW each)","Self Service"
"NDMC","NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023","28.5772318","77.1972385","DC-001","15 kW","Self Service"
"NDMC","Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003","28.602443","77.217889","DC-001","15 kW","Self Service"
"NDMC","Janpath Guest House, Connaught Place, New Delhi","28.623779","77.218963","DC-001","15 kW","Self Service"
"SDMC","EESL N-Block GK-1, SDMC parking New Delhi","28.5568413","77.2340489","DC-001","15 kW","Self Service"
"SDMC","SDMC Parking, B6, Safderjung Enclave","28.5503609","77.2139161","DC-001","15 kW","Self Service"
"SDMC","SDMC Parking, SDA Market, Hauz Khas, New Delhi, Delhi 110016","28.5463909","77.1963545","DC-001","15 kW","Self Service"
"SDMC","SDMC Parking, Aurbindo Market Place,Hauz Khas, New Delhi, Delhi 110016","28.5453944","77.1908225","DC-001","15 kW","Self Service"
"SDMC","SDMC Parking, R Block, GK-1, DELHI-110016","28.5500136","77.2448704","DC-001","15 kW","Self Service"
